Sample	Plasmid_PPI	Chrom_PPI	Fraction
Acinetobacter_sp._ANC_3789_	37422	2453	0.938
Acinetobacter_sp._ANC_3862_	41092	6157	0.870
Acinetobacter_sp._ANC_4105_	60903	8386	0.879
Acinetobacter_sp._ATCC_27244_	39412	1519	0.963
Acinetobacter_sp._CIP_102129_	35858	2658	0.931
Acinetobacter_sp._CIP_56.2_	62842	9083	0.874
Acinetobacter_sp._CIP-A165_	38955	3670	0.914
Acinetobacter_sp._HR7_	37412	1777	0.955
Acinetobacter_sp._NCTC_7422_	0	47491	0.000
Acinetobacter_sp._NIPH_2100_	42087	4632	0.901
Acinetobacter_sp._NIPH_758_	43073	4346	0.908
Acinetobacter_sp._NIPH_809_	46711	5480	0.895
Acinetobacter_sp._NIPH_899_	39713	4437	0.900
Acinetobacter_sp._NIPH_973_	0	54008	0.000
Acinetobacter_sp._P8-3-8_	0	43600	0.000
Acinetobacter_sp._RUH2624_	35131	4526	0.886
Acinetobacter_sp._Ver3_	37799	2582	0.936
Acinetobacter_tandoii_	44382	5057	0.898
Acinetobacter_tjernbergiae_	38251	3862	0.908
Acinetobacter_towneri_	33505	1711	0.951
Acinetobacter_ursingii_DSM_16037_=_CIP_107286_	38142	2916	0.929
Acinetobacter_venetianus_RAG-1_=_CIP_110063_	39987	3084	0.928
Actibacterium_atlanticum_	51380	4374	0.922
Actinoalloteichus_cyanogriseus_	0	71162	0.000
Actinobacillus_capsulatus_DSM_19761_	0	35901	0.000
Actinobacillus_minor_202_	30759	366	0.988
Actinobacillus_minor_NM305_	31992	2052	0.940
Actinobacillus_pleuropneumoniae_serovar_1_str._4074_	34260	1303	0.963
Actinobacillus_pleuropneumoniae_serovar_5b_str._L20_	27237	283	0.990
Actinobacillus_succinogenes_130Z_	25826	1098	0.959
Actinobacillus_suis_H91-0380_	28450	1067	0.964
actinobacterium_acAMD-5_	21894	391	0.982
actinobacterium_LLX17_	0	50635	0.000
Actinobaculum_massiliae_ACS-171-V-Col2_	23892	1257	0.950
Actinobaculum_schaalii_FB123-CNA-2_	18721	1084	0.945
Actinobaculum_sp._oral_taxon_183_str._F0552_	28447	1694	0.944
Actinobaculum_urinale_DSM_15805_	0	21891	0.000
Actinocatenispora_sera_	0	77728	0.000
Actinokineospora_enzanensis_DSM_44649_	0	114693	0.000
Actinokineospora_sp._EG49_	85321	14792	0.852
Actinomadura_atramentaria_DSM_43919_	0	98489	0.000
Actinomadura_flavalba_DSM_45200_	0	91376	0.000
Actinomadura_madurae_LIID-AJ290_	166079	24826	0.870
Actinomyces_cardiffensis_F0333_	29962	432	0.986
Actinomyces_coleocanis_DSM_15436_	26153	572	0.979
Actinomyces_dentalis_DSM_19115_	0	34663	0.000
Actinomyces_europaeus_ACS-120-V-Col10b_	28054	897	0.969
Actinomyces_georgiae_DSM_6843_	0	31311	0.000
Actinomyces_graevenitzii_C83_	27772	1134	0.961
Actinomyces_israelii_DSM_43320_	0	44097	0.000
Actinomyces_massiliensis_F0489_	39364	1997	0.952
Actinomyces_naeslundii_str._Howell_279_	38467	1661	0.959
Actinomyces_neuii_BVS029A5_	28140	1561	0.947
Actinomyces_neuii_subsp._neuii_DSM_8576_	28881	1718	0.944
Actinomyces_odontolyticus_ATCC_17982_	33225	1036	0.970
Actinomyces_sp._HPA0247_	31210	2277	0.932
Actinomyces_sp._ICM39_	33175	1522	0.956
Actinomyces_sp._ICM47_	30125	1391	0.956
Actinomyces_sp._oral_taxon_170_str._F0386_	34183	2824	0.924
Actinomyces_sp._oral_taxon_171_str._F0337_	38910	2119	0.948
Actinomyces_sp._oral_taxon_172_str._F0311_	31496	2123	0.937
Actinomyces_sp._oral_taxon_175_str._F0384_	36576	1734	0.955
Actinomyces_sp._oral_taxon_180_str._F0310_	32049	591	0.982
Actinomyces_sp._oral_taxon_448_str._F0400_	33635	829	0.976
Actinomyces_sp._oral_taxon_848_str._F0332_	25737	1449	0.947
Actinomyces_sp._oral_taxon_849_str._F0330_	37813	2543	0.937
Actinomyces_sp._ph3_	0	26094	0.000
Actinomyces_sp._S4-C9_	23528	585	0.976
Actinomyces_sp._S6-Spd3_	33943	893	0.974
Actinomyces_suimastitidis_DSM_15538_	0	31788	0.000
Actinomyces_timonensis_DSM_23838_	0	35324	0.000
Actinomyces_turicensis_ACS-279-V-Col4_	27958	1269	0.957
Actinomyces_urogenitalis_DSM_15434_	32779	1808	0.948
Actinomyces_urogenitalis_S6-C4_	36959	2108	0.946
Actinomyces_vaccimaxillae_DSM_15804_	0	36099	0.000
Actinomyces_viscosus_C505_	34822	2304	0.938
Actinomycetospora_chiangmaiensis_DSM_45062_	0	83952	0.000
Actinoplanes_friuliensis_DSM_7358_	67790	28089	0.707
Actinoplanes_globisporus_DSM_43857_	0	190674	0.000
Actinoplanes_missouriensis_431_	79342	24048	0.767
Actinoplanes_sp._N902-109_	74818	12181	0.860
Actinoplanes_sp._SE50-110_	99431	14428	0.873
Actinoplanes_subtropicus_	0	194817	0.000
Actinoplanes_utahensis_	124699	14663	0.895
Actinopolymorpha_alba_DSM_45243_	0	97684	0.000
Actinopolyspora_erythraea_	40396	7224	0.848
Actinopolyspora_halophila_DSM_43834_	0	65982	0.000
Actinopolyspora_mortivallis_DSM_44261_	0	55477	0.000
Actinosporangium_sp._NRRL_B-3428_	0	130489	0.000
Actinosynnema_mirum_DSM_43827_	65199	33359	0.662
Adhaeribacter_aquaticus_DSM_16391_	0	65570	0.000
Adlercreutzia_equolifaciens_DSM_19450_	22165	3340	0.869
Advenella_kashmirensis_W13003_	67363	7275	0.903
Advenella_mimigardefordensis_DPN7_	42025	5556	0.883
Aequorivita_capsosiphonis_DSM_23843_	0	44711	0.000
Aequorivita_sublithincola_DSM_14238_	29972	9425	0.761
Aerococcus_urinae_ACS-120-V-Col10a_	21987	665	0.971
Aerococcus_viridans_ATCC_11563_	24753	524	0.979
Aerococcus_viridans_LL1_	31175	796	0.975
Aeromicrobium_marinum_DSM_15272_	52001	2805	0.949
Aeromicrobium_massiliense_JC14_	0	49239	0.000
Aeromonas_diversa_2478-85_	82697	1502	0.982
Aeromonas_hydrophila_subsp._hydrophila_ATCC_7966_	63102	1961	0.970
Aeromonas_hydrophila_YL17_	57187	2637	0.956
Aeromonas_salmonicida_subsp._salmonicida_A449_	69346	2278	0.968
Aeromonas_sp._AE122_	0	85007	0.000
Aeromonas_veronii_B565_	56853	4545	0.926
Aestuariibacter_salexigens_DSM_15300_	0	60303	0.000
Aestuariimicrobium_kwangyangense_DSM_21549_	0	42117	0.000
Afifella_pfennigii_DSM_17143_	0	56483	0.000
Afipia_birgiae_34632_	0	87397	0.000
Afipia_broomeae_ATCC_49717_	71121	15300	0.823
Afipia_felis_ATCC_53690_	57364	6097	0.904
Afipia_sp._1NLS2_	55281	6025	0.902
Afipia_sp._OHSU_I-C4_	0	83783	0.000
Afipia_sp._P52-10_	66474	9872	0.871
Aggregatibacter_actinomycetemcomitans_D7S-1_	25417	853	0.968
Aggregatibacter_actinomycetemcomitans_HK1651_	24568	1165	0.955
Aggregatibacter_actinomycetemcomitans_RhAA1_	24820	2000	0.925
Aggregatibacter_aphrophilus_NJ8700_	23991	997	0.960
Agrobacterium_albertimagni_AOL15_	82875	6151	0.931
Agrobacterium_fabrum_str._C58_	69391	5336	0.929
Agrobacterium_radiobacter_K84_	71922	10586	0.872
Agrobacterium_rhizogenes_	140163	16110	0.897
Agrobacterium_sp._H13-3_	70145	6292	0.918
Agrobacterium_tumefaciens_CCNWGS0286_	56075	3732	0.938
Agrobacterium_tumefaciens_str._Cherry_2E-2-2_	78924	10128	0.886
Agrobacterium_vitis_S4_	60530	4296	0.934
Agrococcus_lahaulensis_DSM_17612_	0	32945	0.000
Agromyces_italicus_DSM_16388_	0	43386	0.000
Agromyces_subbeticus_DSM_16689_	0	47963	0.000
Ahrensia_sp._13_GOM-1096m_	0	49549	0.000
Ahrensia_sp._R2A130_	54434	2793	0.951
Akkermansia_muciniphila_ATCC_BAA-835_	20049	1938	0.912
Alcaligenes_faecalis_	40936	5392	0.884
Alcanivorax_borkumensis_SK2_	38116	872	0.978
Alcanivorax_dieselolei_B5_	49577	3655	0.931
Alcanivorax_hongdengensis_A-11-3_	42073	4489	0.904
Alcanivorax_jadensis_T9_	42295	3816	0.917
Alcanivorax_sp._19-m-6_	45489	5158	0.898
Alcanivorax_sp._43B_GOM-46m_	0	62731	0.000
Alcanivorax_sp._DG881_	45498	4187	0.916
Alcanivorax_sp._P2S70_	42162	3761	0.918
Algicola_sagamiensis_DSM_14643_	0	63883	0.000
Algiphilus_aromaticivorans_DG1253_	0	51696	0.000
Algoriphagus_machipongonensis_	50138	10756	0.823
Algoriphagus_mannitolivorans_DSM_15301_	0	47522	0.000
Algoriphagus_marincola_DSM_16067_	0	46283	0.000
Algoriphagus_marincola_HL-49_	42289	2008	0.955
Algoriphagus_vanfongensis_DSM_17529_	0	52624	0.000
Aliagarivorans_taiwanensis_DSM_22990_	0	62845	0.000
Alicycliphilus_denitrificans_BC_	54966	13997	0.797
Alicycliphilus_denitrificans_K601_	62352	18432	0.772
Alicyclobacillus_acidocaldarius_subsp._acidocaldarius_DSM_446_	32542	6080	0.843
Alicyclobacillus_acidocaldarius_subsp._acidocaldarius_Tc-4-1_	34130	2502	0.932
Alicyclobacillus_acidoterrestris_ATCC_49025_	50827	4454	0.919
Alicyclobacillus_contaminans_DSM_17975_	0	54045	0.000
Alicyclobacillus_herbarius_DSM_13609_	0	51141	0.000
Alicyclobacillus_macrosporangiidus_CPP55_	54529	4091	0.930
Alicyclobacillus_pohliae_DSM_22757_	0	50441	0.000
Alicyclobacillus_pomorum_DSM_14955_	0	54942	0.000
Aliihoeflea_sp._2WW_	0	62641	0.000
Aliivibrio_salmonicida_LFI1238_	40548	2117	0.950
Alishewanella_agri_BL06_	55658	2356	0.959
Alishewanella_jeotgali_KCTC_22429_	52732	3626	0.936
Alistipes_finegoldii_DSM_17242_	24865	9266	0.729
Alistipes_indistinctus_YIT_12060_	25553	3247	0.887
Alistipes_onderdonkii_WAL_8169_=_DSM_19147_	29670	7245	0.804
Alistipes_putredinis_DSM_17216_	25345	2572	0.908
Alistipes_senegalensis_JC50_	0	41123	0.000
Alistipes_sp._627_	17666	953	0.949
Alistipes_sp._HGB5_	38356	7389	0.838
Alkalibacterium_sp._AK22_	35454	1009	0.972
Alkaliflexus_imshenetskii_DSM_15055_	0	46884	0.000
Alkalilimnicola_ehrlichii_MLHE-1_	37565	3205	0.921
Alkaliphilus_metalliredigens_QYMF_	51079	11223	0.820
Alkaliphilus_oremlandii_OhILAs_	34213	2957	0.920
Alkaliphilus_transvaalensis_ATCC_700919_	0	62196	0.000
Alkanindiges_illinoisensis_DSM_15370_	0	43586	0.000
Allobaculum_stercoricanis_DSM_13633_	0	31431	0.000
Allochromatium_vinosum_DSM_180_	56105	3629	0.939
Allofustis_seminis_DSM_15817_	0	28462	0.000
Alloiococcus_otitis_ATCC_51267_	28716	1069	0.964
Allokutzneria_albata_	91786	17172	0.842
Alloprevotella_rava_F0323_	25324	3237	0.887
Alloscardovia_omnicolens_DSM_21503_	0	24720	0.000
alpha_proteobacterium_BAL199_	88059	9936	0.899
alpha_proteobacterium_HIMB114_	21599	660	0.970
alpha_proteobacterium_HIMB59_	16319	1344	0.924
alpha_proteobacterium_HIMB5_	17918	1052	0.945
alpha_proteobacterium_IMCC14465_	28922	1966	0.936
alpha_proteobacterium_JLT2015_	30974	11434	0.730
alpha_proteobacterium_L41A_	0	45950	0.000
alpha_proteobacterium_MA2_	55850	5002	0.918
alpha_proteobacterium_Mf_1.05b.01_	0	51497	0.000
alpha_proteobacterium_RS24_	31049	191	0.994
Alteromonadales_bacterium_TW-7_	62128	3977	0.940
Alteromonas_australica_	43371	4042	0.915
Alteromonas_macleodii_str._'Black_Sea_11'_	46952	4403	0.914
Alteromonas_macleodii_str._'Deep_ecotype'_	44818	6690	0.870
Alteromonas_sp._ALT199_	62347	4608	0.931
Alteromonas_sp._SN2_	45960	5822	0.888
Altibacter_lentus_	0	40045	0.000
Alysiella_crassa_DSM_2578_	0	35433	0.000
Aminicenantes_bacterium_SCGC_AAA252-A02_	0	27889	0.000
Aminiphilus_circumscriptus_DSM_16581_	0	45995	0.000
Aminobacterium_colombiense_DSM_12261_	23491	2423	0.906
Aminobacterium_mobile_DSM_12262_	0	34026	0.000
Aminobacter_sp._J41_	0	68091	0.000
Aminomonas_paucivorans_DSM_12260_	44390	2520	0.946
Ammonifex_degensii_KC4_	27956	2365	0.922
Amorphus_coralli_DSM_19760_	0	61084	0.000
Amphibacillus_jilinensis_Y1_	0	61571	0.000
Amphibacillus_xylanus_NBRC_15112_	33305	1173	0.966
Amphritea_japonica_ATCC_BAA-1530_	0	54745	0.000
Amycolatopsis_balhimycina_FH_1894_	0	180929	0.000
Amycolatopsis_benzoatilytica_AK_16-65_	0	134632	0.000
Amycolatopsis_japonica_	75611	15521	0.830
Amycolatopsis_jejuensis_	0	207133	0.000
Amycolatopsis_mediterranei_U32_	126205	28274	0.817
Amycolatopsis_methanolica_239_	82709	9521	0.897
Amycolatopsis_nigrescens_CSC17Ta-90_	0	136451	0.000
Amycolatopsis_orientalis_DSM_40040_=_KCTC_9412_	102028	23990	0.810
Amycolatopsis_rifamycinica_	129840	21801	0.856
Amycolatopsis_vancoresmycina_	135984	29661	0.821
Amycolicicoccus_subflavus_DQS3-9A1_	62062	6901	0.900
Anabaena_cylindrica_PCC_7122_	48881	12568	0.795
Anabaena_sp._90_	40714	6133	0.869
Anabaena_sp._PCC_7108_	0	83907	0.000
Anabaena_variabilis_ATCC_29413_	62221	14058	0.816
Anaeroarcus_burkinensis_DSM_6283_	0	69276	0.000
Anaerobaculum_hydrogeniformans_ATCC_BAA-1850_	50261	1232	0.976
Anaerobaculum_mobile_DSM_13181_	27869	2605	0.915
Anaerobiospirillum_succiniciproducens_DSM_6400_	0	54573	0.000
Anaerococcus_hydrogenalis_DSM_7454_	31076	1019	0.968
Anaerococcus_lactolyticus_ATCC_51172_	37673	1970	0.950
Anaerococcus_lactolyticus_S7-1-13_	31918	848	0.974
Anaerococcus_prevotii_ACS-065-V-Col13_	28850	747	0.975
Anaerococcus_prevotii_DSM_20548_	22177	2701	0.891
Anaerococcus_senegalensis_JC48_	0	30499	0.000
Anaerococcus_sp._9402080_	0	48122	0.000
Anaerococcus_sp._PH9_	0	37783	0.000
Anaerococcus_tetradius_ATCC_35098_	31473	1731	0.948
Anaerococcus_vaginalis_ATCC_51170_	30019	597	0.981
Anaerofustis_stercorihominis_DSM_17244_	28762	1717	0.944
Anaeroglobus_geminatus_F0357_	36376	1987	0.948
Anaerolinea_thermophila_UNI-1_	37342	3728	0.909
Anaeromyxobacter_dehalogenans_2CP-C_	64373	8852	0.879
Anaeromyxobacter_sp._Fw109-5_	49151	10526	0.824
Anaerophaga_thermohalophila_DSM_12881_	0	52141	0.000
Anaerosalibacter_sp._ND1_	0	59578	0.000
Anaerostipes_caccae_DSM_14662_	223152	1583	0.993
Anaerotruncus_colihominis_DSM_17241_	58039	9400	0.861
Anaerotruncus_sp._G3	45769	6028	0.884
Anaerovibrio_lipolyticus_LB2005_	52945	2122	0.961
Anaerovibrio_sp._RM50_	0	44174	0.000
Anaerovorax_odorimutans_DSM_5092_	0	42088	0.000
Anaplasma_centrale_str._Israel_	12381	104	0.992
Anaplasma_marginale_str._Florida_	12620	98	0.992
Anaplasma_marginale_str._St._Maries_	13081	144	0.989
Anaplasma_phagocytophilum_str._HZ_	17285	217	0.988
Anditalea_andensis_	48401	10873	0.817
Andreprevotia_chitinilytica_DSM_18519_	0	88265	0.000
Aneurinibacillus_aneurinilyticus_ATCC_12856_	80288	9964	0.890
Anoxybacillus_flavithermus_AK1_	52338	4061	0.928
Anoxybacillus_flavithermus_subsp._yunnanensis_str._E13_	51011	10386	0.831
Anoxybacillus_flavithermus_TNO-09.006_	54261	567	0.990
Anoxybacillus_flavithermus_WK1_	47318	1423	0.971
Anoxybacillus_gonensis_	45904	2550	0.947
Anoxybacillus_tepidamans_PS2_	0	60867	0.000
Aquamicrobium_defluvii_	73547	10045	0.880
Aquaspirillum_serpens_DSM_68_	0	58301	0.000
Aquifex_aeolicus_VF5_	22815	149	0.994
Aquimarina_agarilytica_ZC1_	0	47318	0.000
Aquimarina_macrocephali_JAMB_N27_	0	65056	0.000
Aquimarina_megaterium_XH134_	0	86407	0.000
Aquimarina_muelleri_DSM_19832_	0	53781	0.000
Aquimarina_sp._22II-S11-z7_	61375	16508	0.788
Aquimarina_sp._SW150_	0	52451	0.000
Arcanobacterium_haemolyticum_DSM_20595_	23258	1355	0.945
Arcanobacterium_sp._S3PF19_	17337	210	0.988
Arcobacter_butzleri_ED-1_	28939	2272	0.927
Arcobacter_butzleri_RM4018_	37111	999	0.974
Arcobacter_cibarius_LMG_21996_	0	41384	0.000
Arcobacter_nitrofigilis_DSM_7299_	41870	4908	0.895
Arcobacter_sp._AF1028_	0	43211	0.000
Arcobacter_sp._AF1440_	0	40866	0.000
Arcobacter_sp._L_	36691	4872	0.883
Arcticibacter_svalbardensis_MN12-7_	55464	8518	0.867
Arenibacter_algicola_	46121	9070	0.836
Arenibacter_certesii_DSM_19833_	0	56990	0.000
Arenibacter_latericius_DSM_15913_	0	45307	0.000
Arenimonas_composti_TR7-09_=_DSM_18010_	38060	2140	0.947
Arenimonas_malthae_CC-JY-1_	40452	1947	0.954
Arenimonas_metalli_CF5-1_	38174	1746	0.956
Arenimonas_oryziterrae_DSM_21050_=_YC6267_	38299	2317	0.943
Arenitalea_lutea_	38637	5946	0.867
Aromatoleum_aromaticum_EbN1_	49504	4593	0.915
Arsenicicoccus_bolidensis_DSM_15745_	0	54787	0.000
Arsenophonus_endosymbiont_str._Hangzhou_of_Nilaparvata_lugens_	0	46306	0.000
Arthrobacter_arilaitensis_Re117_	29923	2975	0.910
Arthrobacter_aurescens_TC1_	41435	3818	0.916
Arthrobacter_castelli_DSM_16402_	0	53813	0.000
Arthrobacter_chlorophenolicus_A6_	36906	10242	0.783
Arthrobacter_gangotriensis_Lz1y_	49265	1783	0.965
Arthrobacter_globiformis_NBRC_12137_	65358	2803	0.959
Arthrobacter_nicotinovorans_231Sha2.1M6_	48261	7157	0.871
Arthrobacter_phenanthrenivorans_Sphe3_	33610	9388	0.782
Arthrobacter_sanguinis_DSM_21259_	0	33298	0.000
Arthrobacter_sp._135MFCol5.1_	0	55170	0.000
Arthrobacter_sp._161MFSha2.1_	0	56237	0.000
Arthrobacter_sp._162MFSha1.1_	0	56666	0.000
Arthrobacter_sp._31Y_	0	64551	0.000
Arthrobacter_sp._35W_	0	58658	0.000
Arthrobacter_sp._9MFCol3.1_	0	54984	0.000
Arthrobacter_sp._A3_	32953	7223	0.820
Arthrobacter_sp._AK-YN10_	55226	6607	0.893
Arthrobacter_sp._Br18_	0	37378	0.000
Arthrobacter_sp._FB24_	41743	6952	0.857
Arthrobacter_sp._H14_	0	55232	0.000
Arthrobacter_sp._M2012083_	0	60176	0.000
Arthrobacter_sp._MA-N2_	0	71496	0.000
Arthrobacter_sp._PAO19_	0	41785	0.000
Arthrobacter_sp._TB_23_	0	44426	0.000
Arthrobacter_sp._UNC362MFTsu5.1_	0	62727	0.000
Arthrospira_platensis_C1_	82905	11923	0.874
Arthrospira_platensis_NIES-39_	66687	19842	0.771
Asaia_platycodi_SF2.1_	38382	3366	0.919
Aster_yellows_witches'-broom_phytoplasma_AYWB_	12702	134	0.990
Asticcacaulis_benevestitus_DSM_16100_=_ATCC_BAA-896_	70978	6733	0.913
Asticcacaulis_biprosthecum_C19_	53569	6168	0.897
Asticcacaulis_excentricus_CB_48_	39340	8696	0.819
Asticcacaulis_sp._AC402_	48580	3982	0.924
Asticcacaulis_sp._AC460_	58105	8732	0.869
Asticcacaulis_sp._AC466_	62744	6856	0.901
Atopobacter_phocae_ATCC_BAA-285_	0	28818	0.000
Atopobium_parvulum_DSM_20469_	17103	1032	0.943
Atopobium_rimae_ATCC_49626_	24448	803	0.968
Atopobium_sp._BS2_	25673	581	0.978
Atopobium_sp._BV3Ac4_	29794	982	0.968
Atopobium_sp._oral_taxon_199_str._F0494_	29405	892	0.971
Atopobium_sp._oral_taxon_810_str._F0209_	36473	1109	0.970
Atopobium_vaginae_DSM_15829_	23259	316	0.987
Atopobium_vaginae_PB189-T1-4_	22285	176	0.992
Atopococcus_tabaci_DSM_17538_	0	36019	0.000
Aureimonas_ureilytica_DSM_18598_	69379	7881	0.898
Aureispira_sp._CCB-QB1_	0	53628	0.000
Austwickia_chelonae_NBRC_105200_	51306	1981	0.963
Avibacterium_paragallinarum_221_	30993	5107	0.859
Avibacterium_paragallinarum_72_	30143	1765	0.945
Azoarcus_sp._BH72_	57805	1298	0.978
Azoarcus_sp._KH32C_	100538	3733	0.964
Azorhizobium_caulinodans_ORS_571_	61326	8139	0.883
Azorhizobium_doebereinerae_UFLA1-100_	0	91678	0.000
Azospirillum_halopraeferens_DSM_3675_	0	189707	0.000
Azotobacter_vinelandii_DJ_	71417	3272	0.956
Azovibrio_restrictus_DSM_23866_	0	87389	0.000
Bacillus_aidingensis_DSM_18341_	0	70247	0.000
Bacillus_akibai_JCM_9157_	71966	4960	0.936
Bacillus_alcalophilus_ATCC_27647_	48935	3078	0.941
Bacillus_amyloliquefaciens_subsp._plantarum_str._FZB42_	50770	802	0.984
Bacillus_anthracis_str._Ames_	55353	3792	0.936
Bacillus_anthracis_str._Sterne_	53489	5340	0.909
Bacillus_atrophaeus_1942_	45803	5717	0.889
Bacillus_bataviensis_LMG_21833_	82219	6850	0.923
Bacillus_bogoriensis_ATCC_BAA-922_	0	42587	0.000
Bacillus_boroniphilus_JCM_21738_	91801	5679	0.942
Bacillus_cellulosilyticus_DSM_2522_	42365	5579	0.884
Bacillus_cereus_	69129	4110	0.944
Bacillus_chagannorensis_DSM_18086_	0	50397	0.000
Bacillus_cibi_	48030	12163	0.798
Bacillus_clausii_KSM-K16_	47776	2956	0.942
Bacillus_coagulans_2-6_	37282	1068	0.972
Bacillus_coagulans_36D1_	37254	3432	0.916
Bacillus_coahuilensis_m4-4_	0	82680	0.000
Bacillus_cytotoxicus_NVH_391-98_	36744	5146	0.877
Bacillus_endophyticus_2102_	52901	5682	0.903
Bacillus_firmus_DS1_	78694	5543	0.934
Bacillus_flexus_T6186-2_	38122	10579	0.783
Bacillus_fordii_DSM_16014_=_CIP_108821_	0	62484	0.000
Bacillus_gaemokensis_	64453	5415	0.922
Bacillus_gelatini_DSM_15865_	0	67646	0.000
Bacillus_lehensis_G1_	39710	6356	0.862
Bacillus_licheniformis_DSM_13_=_ATCC_14580_	61460	1227	0.980
Bacillus_macauensis_ZFHKF-1_	50765	3123	0.942
Bacillus_manliponensis_	59742	3826	0.940
Bacillus_massilioanorexius_AP8_	0	70930	0.000
Bacillus_massiliosenegalensis_JC6_	0	87574	0.000
Bacillus_megaterium_MSP20.1_	16812	39394	0.299
Bacillus_megaterium_QM_B1551_	65990	2943	0.957
Bacillus_methanolicus_MGA3_	45271	2163	0.954
