,Sample,Plasmid_PPI,Chrom_PPI,Fraction,inputProteins,interactions,Plasmid_genes,cTri,loops,ccs,aPMNLE_all,cTri_all,loops_all,ccs_all,aPMNLE
79,Halomonas_sp_HL-48,50166,428,0.992,3191,50593,1222,4713,5564,49,0.551689275,75879,27945,10,0.493919414
80,Cupriavidus_taiwanensis_LMG_19424,89042,5051,0.946,5897,94092,1213,43614,23828,61,0.537434212,139481,50795,32,0.526565074
81,Martelella_mediterranea_DSM_17316,55872,3600,0.939,5046,59471,1213,19697,14928,85,0.542354962,76445,32807,26,0.534966571
82,Vibrio_nigripulchritudo_SOn1,74586,6090,0.925,6269,80675,1209,25055,19522,127,0.535227207,100209,44513,79,0.505978144
83,Pseudomonas_putida_NBRC_14164,71715,3111,0.958,5449,74825,1206,20530,17369,91,0.525809146,119638,40206,36,0.530383023
84,Pseudomonas_sp_UW4,68239,2972,0.958,5423,71210,1197,13996,15578,84,0.554783728,77483,40748,29,0.517991048
85,Vibrio_anguillarum,62925,1469,0.977,3726,64393,1196,31911,11943,54,0.522097437,118454,33279,22,0.506788584
86,Pseudomonas_pseudoalcaligenes_CECT_5344,55135,1846,0.968,4314,56980,1181,NA,NA,NA,NA,NA,NA,NA,NA
87,Enterobacter_aerogenes_KCTC_2190,65237,4028,0.942,4912,69264,1178,20149,14528,47,0.518637961,110919,36544,19,0.504195529
88,Glaciecola_mesophila_KMM_241,74805,1296,0.983,4569,76100,1177,27739,16186,92,0.543583609,103189,42341,47,0.533971398
89,Vibrio_azureus_NBRC_104587,66117,2785,0.96,4158,68901,1176,18450,11103,126,0.531653747,116289,36508,65,0.521261715
90,Providencia_alcalifaciens_DSM_30120,44659,4704,0.905,4022,49362,1175,12690,8346,105,0.518573459,68039,26217,36,0.468395613
91,Vibrio_halioticoli_NBRC_102217,44123,1465,0.968,3541,45587,1173,3276,5383,82,0.561702629,52113,25401,22,0.491510006
92,Pseudomonas_knackmussii_B13,84446,6653,0.927,5750,91098,1168,49834,21596,67,0.511572661,176220,47010,32,0.508477091
93,Candidatus_Accumulibacter_sp_BA-93,67675,1137,0.983,4039,68811,1166,18749,11897,73,0.536433595,107610,36982,32,0.522846822
94,Candidatus_Sodalis_pierantonius_str_SOPE,24289,341,0.986,2309,24629,1165,1015,863,142,0.518856172,43018,13132,63,0.385467128
95,Cupriavidus_metallidurans_CH34,84652,6120,0.933,6132,90771,1165,35387,22572,92,0.551464405,129685,49385,54,0.546935098
96,Burkholderia_pseudomallei_ABCPW_111,63059,6454,0.907,5896,69512,1162,32553,16809,150,0.519719564,99602,36935,86,0.474817282
97,Rubrivivax_gelatinosus_IL144,89809,1332,0.985,4694,91140,1158,44952,19926,37,0.523133838,179291,47662,14,0.520203089
98,Glaciecola_lipolytica_E3,65621,1436,0.979,4329,67056,1154,15761,12201,93,0.553796468,74187,37641,36,0.496244863
99,Chromobacterium_violaceum_ATCC_12472,69933,2932,0.96,4407,72864,1153,36435,13862,80,0.562048911,108940,40786,29,0.523889948
100,Enterobacter_cloacae_JD6301,73010,1496,0.98,4229,74505,1151,14637,14783,32,0.561432769,86684,42402,15,0.553355924
101,Glaciecola_arctica_BSs20135,77189,2703,0.966,5333,79891,1151,23716,17721,98,0.56903787,99661,44008,44,0.550016841
102,Vibrio_cholerae_O395,55134,3225,0.945,3934,58358,1151,17879,10880,69,0.538973681,86259,31252,24,0.50067598
103,Sinorhizobium_americanum_CCGM7,80642,3728,0.956,6625,84369,1149,36296,22639,130,0.537904495,115176,46105,68,0.521364185
104,Providencia_rustigianii_DSM_4541,62410,5560,0.918,3969,67969,1148,27700,12902,76,0.537595669,110982,35837,26,0.512046392
105,Mannheimia_haemolytica_M42548,38338,1223,0.969,2803,39560,1130,4462,3908,72,0.550826012,52669,21887,10,0.473401577
106,Pseudomonas_syringae_pv_phaseolicola_1448A,78872,4219,0.949,5112,83090,1129,NA,NA,NA,NA,NA,NA,NA,NA
107,Pseudomonas_entomophila_L48,67698,3460,0.951,5134,71157,1128,16931,15517,78,0.521444515,108270,37909,41,0.513827245
108,Azotobacter_vinelandii_DJ,71417,3272,0.956,5051,74688,1125,39078,16351,87,0.533790433,122818,39899,29,0.510467619
109,Ralstonia_solanacearum_Po82,34076,859,0.975,3338,34934,1123,8188,4906,86,0.510970589,48164,18403,24,0.44321578
110,Streptomyces_acidiscabies_84-104,184880,6337,0.967,9618,191216,1123,130392,64321,134,0.549981334,311977,103831,83,0.561600744
111,Ewingella_americana_ATCC_33852,73248,3974,0.949,4397,77221,1116,21830,15236,32,0.54336426,107881,41757,11,0.522405852
112,Pseudomonas_syringae_pv_tomato_str_DC3000,81087,6034,0.931,5550,87120,1115,NA,NA,NA,NA,NA,NA,NA,NA
113,Pantoea_agglomerans,62118,3247,0.95,4914,65364,1114,14418,14051,51,0.558442513,77475,36523,25,0.526504481
114,Pluralibacter_gergoviae,71314,4651,0.939,4692,75964,1109,33384,17057,31,0.518188385,125163,39349,17,0.508548983
115,Aliivibrio_salmonicida_LFI1238,40548,2117,0.95,3811,42664,1108,7384,6111,165,0.519356662,55282,22055,104,0.457348138
116,Pseudomonas_resinovorans_NBRC_106553,89434,4777,0.949,5875,94210,1106,41888,24041,70,0.541939433,159071,51012,41,0.547374648
117,Pseudoalteromonas_spongiae_UST010723-006,62125,2248,0.965,4191,64372,1105,20429,14057,57,0.536879761,96369,35443,23,0.524609511
118,Enterobacter_sp_R4-368,72495,3603,0.953,4827,76097,1102,32860,15865,51,0.523327724,126981,39874,26,0.491740413
119,Ralstonia_solanacearum_PSI07,61273,3742,0.942,4975,65014,1102,23576,14603,110,0.53158387,99214,34573,70,0.53024158
120,Xanthomonas_campestris_pv_campestris,65439,1818,0.973,4467,67256,1098,NA,NA,NA,NA,NA,NA,NA,NA
121,Janthinobacterium_sp_HH01,164432,1624,0.99,5976,166055,1096,167005,46525,49,0.547147101,391800,88167,19,0.559545699
122,Acinetobacter_calcoaceticus_PHEA-2,41403,1295,0.97,3599,42697,1094,8224,7437,103,0.555696723,56767,24225,25,0.497332543
123,Azoarcus_sp_BH72,57805,1298,0.978,3989,59102,1092,11107,11513,34,0.57909312,60365,34407,11,0.526500448
124,Enterobacter_cloacae_subsp_cloacae_ATCC_13047,73128,6237,0.921,5394,79364,1089,35306,20454,53,0.55283527,107967,44093,25,0.521215483
125,Serratia_plymuthica,57324,4615,0.925,4959,61938,1074,14846,13469,48,0.532897672,75806,33479,13,0.495983936
126,Hafnia_alvei_FB1,58727,4314,0.932,4063,63040,1072,21674,12718,37,0.539060083,95078,34767,19,0.507868748
127,Legionella_massiliensis,48290,1038,0.979,3767,49327,1072,8142,6194,175,0.562453789,67562,27938,86,0.486835569
128,Aeromonas_hydrophila_subsp_hydrophila_ATCC_7966,63102,1961,0.97,4119,65062,1064,15874,12559,40,0.534801458,93442,34997,12,0.508862978
129,Pseudomonas_stutzeri_A1501,62825,2361,0.964,4128,65185,1061,28656,15183,36,0.530383091,99703,34675,12,0.521851363
130,Sinorhizobium_fredii_USDA_257,75426,3394,0.957,6122,78819,1061,29534,22145,104,0.550137006,108232,43860,75,0.542036209
131,Vibrio_ezurae_NBRC_102218,43450,1102,0.975,3211,44551,1060,3274,5453,73,0.54312736,59544,24678,20,0.486465342
132,Betaproteobacteria_bacterium_MOLA814,44144,233,0.995,2683,44376,1059,4312,5239,60,0.556591248,56325,24789,11,0.534894192
133,Shewanella_violacea_DSS12,50199,2909,0.945,4346,53107,1058,7886,9258,116,0.528944657,70468,29262,60,0.491337418
134,Pseudoalteromonas_haloplanktis_TAC125,48281,1701,0.966,3486,49981,1057,12688,8416,68,0.537975635,78061,27193,23,0.482199238
135,Pseudomonas_alcaligenes_NBRC_14159,51253,4201,0.924,4531,55453,1057,12848,11019,60,0.535687264,61762,30860,31,0.471158248
136,Mangrovibacter_sp_MFB070,85713,3012,0.966,4795,88724,1056,30358,20890,33,0.556032441,129090,48331,17,0.549893601
137,Serratia_sp_Ag1,75531,6339,0.923,4555,81869,1056,30173,18147,37,0.557525879,121393,45770,15,0.53187371
138,Vibrio_scophthalmi_LMG_19158,48842,4794,0.911,4590,53635,1056,14806,9259,135,0.528692581,76123,28820,77,0.455124445
139,Xanthomonas_axonopodis_pv_citri_str_306,57885,1626,0.973,4355,59510,1055,NA,NA,NA,NA,NA,NA,NA,NA
140,Thioalkalivibrio_nitratireducens_DSM_14787,38750,1658,0.959,3778,40407,1054,4235,5382,110,0.563260603,47721,22811,41,0.464245336
141,Sodalis_glossinidius_str_morsitans,33665,2778,0.924,2455,36442,1053,NA,NA,NA,NA,NA,NA,NA,NA
142,Serratia_sp_ATCC_39006,58124,3249,0.947,4413,61372,1050,15518,13238,37,0.521119234,83739,32791,19,0.50682532
143,Vibrio_alginolyticus_40B,89952,1438,0.984,4337,91389,1050,26444,19223,34,0.525118959,166499,47950,19,0.566845638
144,Legionella_pneumophila_str_Paris,40527,1039,0.975,3166,41565,1049,8437,5962,115,0.533584807,67361,22171,39,0.494730926
145,Herbaspirillum_seropedicae_SmR1,71899,6159,0.921,4735,78057,1046,45684,20105,53,0.53010114,125434,41603,21,0.501185179
146,Bacillus_licheniformis_DSM_13_equals_ATCC_14580,61460,1227,0.98,4179,62686,1045,19034,13236,44,0.532057836,105725,33433,24,0.525661285
147,Vibrio_alginolyticus_NBRC_15630_equals_ATCC_17749,64565,2958,0.956,4698,67522,1044,20523,13245,68,0.535409891,110271,35829,33,0.50866903
148,Ralstonia_solanacearum_GMI1000,73386,4815,0.938,5120,78200,1042,46928,20241,55,0.548594956,112586,42915,33,0.525493388
149,Serratia_fonticola_RB-25,81091,5363,0.938,4825,86453,1042,31208,19480,52,0.525341144,149957,45435,29,0.540464153
150,Xanthomonas_fuscans_subsp_fuscans,48456,2014,0.96,3981,50469,1038,13417,9738,107,0.544374879,73496,27388,37,0.517451772
151,Pantoea_sp_PSNIH2,48208,5870,0.891,4378,54077,1035,16619,10718,96,0.546613481,61852,30436,56,0.478733927
152,Xanthomonas_hortorum_pv_carotae_str_M081,51870,2096,0.961,4378,53965,1035,NA,NA,NA,NA,NA,NA,NA,NA
153,Photobacterium_leiognathi_subsp_mandapamensis_svers11,76497,1331,0.983,3978,77827,1030,NA,NA,NA,NA,NA,NA,NA,NA
154,Salinisphaera_shabanensis_E1L3A,57044,846,0.985,3524,57889,1030,6186,9999,51,0.580642578,68616,33407,14,0.589764869
155,Agrobacterium_tumefaciens_CCNWGS0286,56075,3732,0.938,4982,59806,1028,19068,14672,96,0.543138312,69437,32777,45,0.50222623
156,Rahnella_aquatilis_HX2,53649,4565,0.922,4443,58213,1028,16300,12261,55,0.546531643,79089,32331,22,0.505794539
157,Mycobacterium_phlei_RIVM601174,71964,4982,0.935,5435,76945,1025,36902,23637,43,0.538919684,103301,42589,19,0.578372352
158,Rhodobacter_capsulatus_SB_1003,43926,2329,0.95,3493,46254,1025,8267,7792,52,0.522547553,66324,24143,15,0.49549906
159,Sporosarcina_newyorkensis_2681,62267,1098,0.983,3825,63364,1020,12637,11217,64,0.551952162,82549,34434,23,0.531302617
160,Bacillus_amyloliquefaciens_subsp_plantarum_str_FZB42,50770,802,0.984,3693,51571,1015,7752,9426,46,0.535843697,72527,28018,14,0.538817529
161,Rhizobium_mesoamericanum_STM3625,104329,3097,0.971,6356,107425,1014,54496,28549,111,0.521186441,174001,55342,67,0.5388501
162,Pectobacterium_betavasculorum,67132,3643,0.949,4016,70774,1011,22033,15250,31,0.557250089,93458,39410,18,0.526648002
163,Bacillus_cereus,69129,4110,0.944,5754,73238,1010,28242,18417,114,0.550859785,97690,40189,66,0.520084143
164,Virgibacillus_sp_Vm-5,65133,1840,0.973,4394,66972,1010,13063,12952,55,0.543890206,79703,37018,23,0.530897732
165,Actinobacillus_pleuropneumoniae_serovar_5b_str_L20,27237,283,0.99,2012,27519,1007,3125,2345,31,0.546002497,34345,14991,2,0.450636395
166,Burkholderia_multivorans_ATCC_17616,66481,6583,0.91,6259,73063,1007,19646,19266,88,0.512647303,111895,38245,62,0.511796982
167,Glaciecola_punicea_DSM_14233_equals_ACAM_611,37266,582,0.985,2883,37847,1006,2245,3636,94,0.530393525,55113,19818,32,0.464049404
168,Janthinobacterium_lividum,120263,1968,0.984,5431,122230,1006,73208,32715,52,0.553502796,203865,66617,17,0.557313483
169,Gammaproteobacteria_bacterium_MOLA455,37724,265,0.993,2331,37988,1003,2719,3547,38,0.555513428,51637,20891,8,0.49286033
170,Erwinia_typographi,86661,5353,0.942,5085,92013,998,41375,22148,48,0.552529734,131078,49882,30,0.540402977
171,Pseudomonas_fluorescens_Pf0-1,101921,3099,0.97,5722,105019,998,42467,28759,52,0.572797513,132568,59130,28,0.564096102
172,Serratia_grimesii,68663,2856,0.96,4396,71518,996,19988,16520,34,0.548459852,86366,40023,12,0.529728913
173,Shinella_sp_DD12,156952,4731,0.971,7343,161682,988,115623,53029,66,0.552357205,252988,89038,46,0.550073007
174,Sinorhizobium_meliloti_1021,70441,4788,0.936,4943,75228,988,34205,20689,34,0.544230091,105153,41360,14,0.533277836
175,Paenibacillus_polymyxa_SC2,61063,3402,0.947,6033,64464,984,11449,15345,180,0.544085527,77449,35763,117,0.526306818
176,Pectobacterium_carotovorum_subsp_odoriferum,47712,5674,0.894,4304,53385,984,13251,11655,55,0.556421365,59411,30246,33,0.494237526
177,Xanthomonas_campestris_pv_vesicatoria_str_85-10,55991,3516,0.941,4509,59506,979,NA,NA,NA,NA,NA,NA,NA,NA
178,Janthinobacterium_sp_Marseille,46244,3770,0.925,3697,50013,976,15008,9747,41,0.54825886,62787,27885,19,0.499958461
179,Psychrobacter_sp_1501,31135,689,0.978,2660,31823,976,1881,2588,140,0.524535839,47901,16400,36,0.421698113
180,Thalassobacter_stenotrophicus,65102,831,0.987,2997,65932,976,14664,10285,35,0.561642728,105552,35716,13,0.552199655
181,Pantoea_sp_PSNIH1,42639,4698,0.901,3957,47336,973,10564,8761,81,0.517689623,64365,25028,49,0.475904678
182,Burkholderia_cepacia,111038,11962,0.903,7323,122999,970,137738,41107,35,0.51992312,259507,64778,22,0.524235582
183,Pseudomonas_sp_20_BN,79670,716,0.991,3414,80385,970,25356,14128,27,0.558661156,138778,43724,5,0.53084996
184,Aromatoleum_aromaticum_EbN1,49504,4593,0.915,4321,54096,967,18433,12210,66,0.538820411,74948,29459,27,0.51967401
185,Burkholderia_cenocepacia_J2315,107341,11625,0.902,7121,118965,965,123915,39657,51,0.517911606,247081,62296,29,0.526622707
186,Halobacillus_dabanensis,64387,1734,0.974,4046,66120,965,15144,13345,71,0.572538937,76205,37252,33,0.547573708
187,Bacillus_pumilus_SAFR-032,58293,800,0.986,3681,59092,962,18668,12851,51,0.54275439,86424,31958,19,0.543725404
188,Bordetella_pertussis_Tohama_I,40776,2571,0.941,3426,43346,962,14070,8449,57,0.534449241,61830,23636,15,0.484017849
189,Agrobacterium_fabrum_str_C58,69391,5336,0.929,5158,74726,960,NA,NA,NA,0.51466039,121414,38265,32,NA
190,Desmospora_sp_8437,57491,1391,0.976,4048,58881,960,12028,10910,95,0.559461828,66796,32711,40,0.543545161
191,Azoarcus_sp_KH32C,100538,3733,0.964,5188,104270,958,68305,30618,27,0.556564198,161547,57596,19,0.544584917
192,Idiomarina_loihiensis_L2TR,36590,699,0.981,2628,37288,957,4148,4282,29,0.529828245,55157,19681,9,0.473753528
193,Pseudomonas_sp_BAY1663,123032,1913,0.985,5054,124944,957,59175,29995,42,0.550578853,203962,66140,17,0.543468673
194,Serratia_sp_M24T3,66708,3477,0.95,4794,70184,957,20225,15755,58,0.568768787,79999,39955,27,0.536803937
195,Rhizobium_sp_LPU83,41769,2678,0.94,4310,44446,956,9752,8383,106,0.494913514,70956,22652,58,0.458462133
196,Methyloglobulus_morosus_KoM1,52678,1072,0.98,3737,53749,954,7040,8844,101,0.556857523,62780,29856,40,0.538164624
197,Burkholderia_pseudomallei_K96243,91129,9916,0.902,5728,101044,953,102150,32473,59,0.540552814,183931,55235,25,0.529418026
198,Salmonella_bongori_N268-08,53489,8091,0.869,4770,61579,951,25258,15822,76,0.52620334,84327,32987,37,0.506120621
199,Pantoea_rwandensis,48409,2642,0.948,3795,51050,949,10340,10857,40,0.541657935,67337,28081,21,0.531723227
200,Ralstonia_eutropha_H16,107625,8575,0.926,6626,116199,949,63226,37400,41,0.551516874,176924,63419,27,0.561904958
201,Achromobacter_xylosoxidans_A8,100589,14663,0.873,6711,115251,947,103792,38679,56,0.55046719,180747,63863,29,0.539893989
202,Bacillus_megaterium_QM_B1551,65990,2943,0.957,5116,68932,947,17536,16673,85,0.549758541,99896,38157,37,0.544830822
203,Paenibacillus_polymyxa_M1,60628,2584,0.959,5069,63211,946,11548,16266,80,0.553030485,72151,35762,43,0.552786431
204,Acinetobacter_sp_ADP1,59905,1416,0.977,3277,61320,945,111544,16130,37,0.554506985,150713,34174,8,0.513199541
205,Bacteroides_ovatus_ATCC_8483,51692,9928,0.839,5536,61619,944,24040,19704,113,0.534890279,81314,33528,67,0.534322651
206,Photobacterium_profundum_SS9,78426,4850,0.942,5489,83275,943,NA,NA,NA,0.50954284,141877,42387,45,NA
